OBJECT_NAME,EPOCH,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,v_r_km_s,v_t_km_s
STARLINK-33682,2025-05-03T22:00:01.999584,3276.8515838571243,2728.52967329411,-5330.650860261361,-5.979371567637611,4.56490622622692,-1.339308818989669,0.00019873267611481005,7.641007870120747
STARLINK-33710,2025-05-04T06:00:02.000160,1260.4000749526217,3972.141816122097,-5406.570238809073,-6.808389035535015,3.355511955216229,0.8782965008273472,-0.00018991737018625443,7.641009517602331
STARLINK-33733,2025-05-04T04:00:01.999584,5499.782973077357,230.78934687911575,-4036.442393610249,-3.256819108896787,5.5495220616471,-4.121335611824281,0.0006601374449291542,7.641300452821674
STARLINK-33638,2025-05-04T04:00:01.999584,1150.6481633711844,4022.840684785995,-5393.258147201474,-6.84070493059758,3.262375356560729,0.9740202731750338,-5.4354556348057415e-05,7.641142087685475
STARLINK-33726,2025-05-04T04:00:01.999584,6219.161522176484,-1939.6169668322336,-2036.9872173238327,-0.2637676946038207,5.110732935214729,-5.675030649374297,0.0009796409853923826,7.641671050460519
STARLINK-33681,2025-05-03T22:00:01.999584,-1927.043999297092,4876.206764052746,-4370.462474757756,-6.670928389660836,0.65148625508635,3.669770508731592,-0.0009727903125460458,7.641526978358741
STARLINK-33730,2025-05-04T04:00:01.999584,-3468.63668884032,4907.008653998177,-3215.318003562189,-5.773167770674386,-0.8420391348847169,4.944158361628149,-0.0005741741103804099,7.647430783486208
STARLINK-33743,2025-05-04T04:00:01.999584,-1565.677913788929,4882.221972276429,-4503.014390661936,-6.735369030743387,1.0314856972238218,3.460985654813649,-0.0005140140846054964,7.642485208522801
STARLINK-33715,2025-05-04T04:00:01.999584,-4730.98434522658,4514.327852103566,-1891.2347027724688,-4.498141278658685,-2.309336054832527,5.743434943999277,-0.000976549472364141,7.652016203539153
STARLINK-33762,2025-05-04T04:00:01.999584,5783.949812291651,-3618.618346303975,192.04001548828128,2.577808301377812,3.794119215197963,-6.11229131381592,0.0009728329862146445,7.642024628089882
STARLINK-33753,2025-05-04T04:00:01.999584,957.6123038381018,4112.802326755868,-5363.234353981986,-6.877604990008244,3.1192031147808925,1.1640914582776944,-0.00010381116005353519,7.64107239739969
STARLINK-33747,2025-05-04T02:30:00.683712,-5840.768615367132,3482.524692148546,9.574561239273445,-2.342891661569263,-3.947175594942665,6.127344146469605,-0.00046789186368689784,7.655957326521244
STARLINK-33659,2025-05-02T10:13:49.674432,-6267.541699047194,2633.371697073808,9.580757502516018,-1.7695322278428658,-4.236537637078804,6.128551267195073,-0.0010363065368668156,7.65758676192878
STARLINK-33746,2025-05-04T04:00:01.999584,-5757.756071644416,3609.102965918056,-142.15474681172998,-2.54700850074176,-3.8236819933431234,6.126679319562803,-0.0008746527948488847,7.657936733142175
STARLINK-33799,2025-05-04T04:00:01.999584,-5829.534888677616,3497.1757708242776,35.88412543981065,-2.333464248949249,-3.9540859882630808,6.1280063260540505,-0.000768489435319708,7.65717391374162
STARLINK-33797,2025-05-04T02:27:11.548800,-5840.508824615008,3484.623434849085,9.59017533117132,-2.3403403573983765,-3.947181196169648,6.125418672343852,-0.003957883256608952,7.65363773839092
STARLINK-33798,2025-05-04T00:51:51.794496,-5851.402255597408,3449.890428443873,9.574612469542,-2.330090615299808,-3.958265505682876,6.131523189569432,0.005509174714519283,7.661118349314859
STARLINK-33736,2025-05-02T07:04:35.072832,-6293.6347062144005,2567.0807966842995,9.576327109105415,-1.7258457887088912,-4.254656112255928,6.128476132666552,-0.00022285515867714878,7.6576015813673735
STARLINK-33740,2025-05-04T03:57:05.600160,-5819.465916524377,3515.636664326607,9.586894004141026,-2.3656038660877496,-3.933515649606908,6.126973262721288,-0.0005180379020792714,7.6556141563358615
STARLINK-33763,2025-05-04T02:26:15.301536,-5840.296344171164,3484.770606999412,9.576970600542108,-2.339989929928525,-3.948211688595546,6.126313743404338,-0.004956062676393369,7.65477784982667
STARLINK-33784,2025-05-02T07:03:05.952960,-6293.180933501107,2567.5705824926576,9.58114378977406,-1.7257897435139404,-4.254891116358484,6.12875868583413,-0.0007806065092792469,7.6579456168560665
